symbol,name,isin,exchange,series,sector,industry,tags
CHOICEIN,Choice International Limited,INE102B01014,NSE,EQ,,Holding Company,nifty500|midcap
CHOLAFIN,Cholamandalam Investment and Finance Company Limited,INE121A01024,NSE,EQ,,Non Banking Financial Company (NBFC),nifty100|nifty500|largecap
CHOLAHLDNG,Cholamandalam Financial Holdings Limited,INE149A01033,NSE,EQ,,Investment Company,nifty500|midcap
CIPLA,Cipla Limited,INE059A01026,NSE,EQ,,Pharmaceuticals,nifty50|nifty100|nifty500|largecap
CLEAN,Clean Science and Technology Limited,INE227W01023,NSE,EQ,,Specialty Chemicals,nifty500|midcap
COALINDIA,Coal India Limited,INE522F01014,NSE,EQ,,Coal,nifty50|nifty100|nifty500|largecap
COCHINSHIP,Cochin Shipyard Limited,INE704P01025,NSE,EQ,,Ship Building & Allied Services,nifty500|midcap
COFORGE,Coforge Limited,INE591G01025,NSE,EQ,,Computers - Software & Consulting,nifty500|midcap
COHANCE,Cohance Lifesciences Limited,INE03QK01018,NSE,EQ,,Pharmaceuticals,nifty500|midcap
COLPAL,Colgate Palmolive (India) Limited,INE259A01022,NSE,EQ,,Personal Care,nifty500|midcap
CONCOR,Container Corporation of India Limited,INE111A01025,NSE,EQ,,Logistics Solution Provider,nifty500|midcap
CONCORDBIO,Concord Biotech Limited,INE338H01029,NSE,EQ,,Pharmaceuticals,nifty500|midcap
COROMANDEL,Coromandel International Limited,INE169A01031,NSE,EQ,,Fertilizers,nifty500|midcap
CPPLUS,Aditya Infotech Limited,INE819V01029,NSE,EQ,,Industrial Products,nifty500|midcap
CRAFTSMAN,Craftsman Automation Limited,INE00LO01017,NSE,EQ,,Auto Components & Equipments,nifty500|midcap
CREDITACC,CREDITACCESS GRAMEEN LIMITED,INE741K01010,NSE,EQ,,Microfinance Institutions,nifty500|midcap
CRISIL,CRISIL Limited,INE007A01025,NSE,EQ,,Other Financial Services,nifty500|midcap
CROMPTON,Crompton Greaves Consumer Electricals Limited,INE299U01018,NSE,EQ,,Household Appliances,nifty500|midcap
CUB,City Union Bank Limited,INE491A01021,NSE,EQ,,Private Sector Bank,nifty500|midcap
CUMMINSIND,Cummins India Limited,INE298A01020,NSE,EQ,,Compressors Pumps & Diesel Engines,nifty100|nifty500|largecap
CYIENT,Cyient Limited,INE136B01020,NSE,EQ,,IT Enabled Services,nifty500|midcap
DABUR,Dabur India Limited,INE016A01026,NSE,EQ,,Personal Care,nifty500|midcap
DALBHARAT,Dalmia Bharat Limited,INE00R701025,NSE,EQ,,Cement & Cement Products,nifty500|midcap
DATAPATTNS,Data Patterns (India) Limited,INE0IX101010,NSE,EQ,,Aerospace & Defense,nifty500|midcap
DCMSHRIRAM,DCM Shriram Limited,INE499A01024,NSE,EQ,,Diversified,nifty500|midcap
DEEPAKFERT,Deepak Fertilizers and Petrochemicals Corporation Limited,INE501A01019,NSE,EQ,,Commodity Chemicals,nifty500|midcap
DEEPAKNTR,Deepak Nitrite Limited,INE288B01029,NSE,EQ,,Specialty Chemicals,nifty500|midcap
DELHIVERY,Delhivery Limited,INE148O01028,NSE,EQ,,Logistics Solution Provider,nifty500|midcap
DEVYANI,Devyani International Limited,INE872J01023,NSE,EQ,,Restaurants,nifty500|midcap
DIVISLAB,Divi's Laboratories Limited,INE361B01024,NSE,EQ,,Pharmaceuticals,nifty100|nifty500|largecap
DIXON,Dixon Technologies (India) Limited,INE935N01020,NSE,EQ,,Consumer Electronics,nifty500|midcap
DLF,DLF Limited,INE271C01023,NSE,EQ,,Residential Commercial Projects,nifty100|nifty500|largecap
DMART,Avenue Supermarts Limited,INE192R01011,NSE,EQ,,Diversified Retail,nifty100|nifty500|largecap
DOMS,DOMS Industries Limited,INE321T01012,NSE,EQ,,Stationary,nifty500|midcap
DRREDDY,Dr. Reddy's Laboratories Limited,INE089A01031,NSE,EQ,,Pharmaceuticals,nifty50|nifty100|nifty500|largecap
ECLERX,eClerx Services Limited,INE738I01010,NSE,EQ,,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO),nifty500|midcap
EICHERMOT,Eicher Motors Limited,INE066A01021,NSE,EQ,,2/3 Wheelers,nifty50|nifty100|nifty500|largecap
EIDPARRY,EID Parry India Limited,INE126A01031,NSE,EQ,,Other Food Products,nifty500|midcap
EIHOTEL,EIH Limited,INE230A01023,NSE,EQ,,Hotels & Resorts,nifty500|midcap
ELECON,Elecon Engineering Company Limited,INE205B01031,NSE,EQ,,Heavy Electrical Equipment,nifty500|midcap
ELGIEQUIP,Elgi Equipments Limited,INE285A01027,NSE,EQ,,Compressors Pumps & Diesel Engines,nifty500|midcap
EMAMILTD,Emami Limited,INE548C01032,NSE,EQ,,Personal Care,nifty500|midcap
EMCURE,Emcure Pharmaceuticals Limited,INE168P01015,NSE,EQ,,Pharmaceuticals,nifty500|midcap
EMMVEE,Emmvee Photovoltaic Power Limited,INE1C6T01020,NSE,EQ,,Other Electrical Equipment,nifty500|midcap
ENDURANCE,Endurance Technologies Limited,INE913H01037,NSE,EQ,,Auto Components & Equipments,nifty500|midcap
ENGINERSIN,Engineers India Limited,INE510A01028,NSE,EQ,,Civil Construction,nifty500|midcap
ENRIN,Siemens Energy India Limited,INE1NPP01017,NSE,EQ,,Heavy Electrical Equipment,nifty100|nifty500|largecap
ERIS,Eris Lifesciences Limited,INE406M01024,NSE,EQ,,Pharmaceuticals,nifty500|midcap
ESCORTS,Escorts Kubota Limited,INE042A01014,NSE,EQ,,Tractors,nifty500|midcap
ETERNAL,ETERNAL LIMITED,INE758T01015,NSE,EQ,,E-Retail/ E-Commerce,nifty50|nifty100|nifty500|largecap
EXIDEIND,Exide Industries Limited,INE302A01020,NSE,EQ,,Auto Components & Equipments,nifty500|midcap
FACT,Fertilizers and Chemicals Travancore Limited,INE188A01015,NSE,EQ,,Fertilizers,nifty500|midcap
FEDERALBNK,The Federal Bank  Limited,INE171A01029,NSE,EQ,,Private Sector Bank,nifty500|midcap
FINCABLES,Finolex Cables Limited,INE235A01022,NSE,EQ,,Cables - Electricals,nifty500|midcap
FIRSTCRY,Brainbees Solutions Limited,INE02RE01045,NSE,EQ,,E-Retail/ E-Commerce,nifty500|midcap
FIVESTAR,Five-Star Business Finance Limited,INE128S01021,NSE,EQ,,Non Banking Financial Company (NBFC),nifty500|midcap
FLUOROCHEM,Gujarat Fluorochemicals Limited,INE09N301011,NSE,EQ,,Specialty Chemicals,nifty500|midcap
FORCEMOT,FORCE MOTORS LTD,INE451A01017,NSE,EQ,,Passenger Cars & Utility Vehicles,nifty500|midcap
FORTIS,Fortis Healthcare Limited,INE061F01013,NSE,EQ,,Hospital,nifty500|midcap
FSL,Firstsource Solutions Limited,INE684F01012,NSE,EQ,,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO),nifty500|midcap
GABRIEL,Gabriel India Limited,INE524A01029,NSE,EQ,,Auto Components & Equipments,nifty500|midcap
GAIL,GAIL (India) Limited,INE129A01019,NSE,EQ,,Gas Transmission/Marketing,nifty100|nifty500|largecap
GALLANTT,Gallantt Ispat Limited,INE297H01019,NSE,EQ,,Iron & Steel Products,nifty500|midcap
GESHIP,The Great Eastern Shipping Company Limited,INE017A01032,NSE,EQ,,Shipping,nifty500|midcap
GICRE,General Insurance Corporation of India,INE481Y01014,NSE,EQ,,General Insurance,nifty500|midcap
GILLETTE,Gillette India Limited,INE322A01010,NSE,EQ,,Personal Care,nifty500|midcap
GLAND,Gland Pharma Limited,INE068V01023,NSE,EQ,,Pharmaceuticals,nifty500|midcap
GLAXO,GlaxoSmithKline Pharmaceuticals Limited,INE159A01016,NSE,EQ,,Pharmaceuticals,nifty500|midcap
GLENMARK,Glenmark Pharmaceuticals Limited,INE935A01035,NSE,EQ,,Pharmaceuticals,nifty500|midcap
GMDCLTD,Gujarat Mineral Development Corporation Limited,INE131A01031,NSE,EQ,,Industrial Minerals,nifty500|midcap
GMRAIRPORT,GMR AIRPORTS LIMITED,INE776C01039,NSE,EQ,,Airport & Airport services,nifty500|midcap
GODFRYPHLP,Godfrey Phillips India Limited,INE260B01028,NSE,EQ,,Cigarettes & Tobacco Products,nifty500|midcap
GODIGIT,Go Digit General Insurance Limited,INE03JT01014,NSE,EQ,,General Insurance,nifty500|midcap
GODREJCP,Godrej Consumer Products Limited,INE102D01028,NSE,EQ,,Personal Care,nifty100|nifty500|largecap
GODREJIND,Godrej Industries Limited,INE233A01035,NSE,EQ,,Diversified,nifty500|midcap
GODREJPROP,Godrej Properties Limited,INE484J01027,NSE,EQ,,Residential Commercial Projects,nifty500|midcap
GPIL,Godawari Power And Ispat limited,INE177H01039,NSE,EQ,,Iron & Steel Products,nifty500|midcap
GRANULES,Granules India Limited,INE101D01020,NSE,EQ,,Pharmaceuticals,nifty500|midcap
GRAPHITE,Graphite India Limited,INE371A01025,NSE,EQ,,Electrodes & Refractories,nifty500|midcap
GRASIM,Grasim Industries Limited,INE047A01021,NSE,EQ,,Cement & Cement Products,nifty50|nifty100|nifty500|largecap
GRAVITA,Gravita India Limited,INE024L01027,NSE,EQ,,Industrial Minerals,nifty500|midcap
GROWW,Billionbrains Garage Ventures Limited,INE0HOQ01053,NSE,EQ,,Stockbroking & Allied,nifty500|midcap
GRSE,Garden Reach Shipbuilders & Engineers Limited,INE382Z01011,NSE,EQ,,Aerospace & Defense,nifty500|midcap
GSPL,Gujarat State Petronet Limited,INE246F01010,NSE,EQ,,Gas Transmission/Marketing,nifty500|midcap
GVT&D,GE Vernova T&D India Limited,INE200A01026,NSE,EQ,,Heavy Electrical Equipment,nifty500|midcap
HAL,Hindustan Aeronautics Limited,INE066F01020,NSE,EQ,,Aerospace & Defense,nifty100|nifty500|largecap
HAVELLS,Havells India Limited,INE176B01034,NSE,EQ,,Consumer Electronics,nifty500|midcap
HBLENGINE,HBL Engineering Limited,INE292B01021,NSE,EQ,,Other Industrial Products,nifty500|midcap
HCLTECH,HCL Technologies Limited,INE860A01027,NSE,EQ,,Computers - Software & Consulting,nifty50|nifty100|nifty500|largecap
HDBFS,HDB Financial Services Limited,INE756I01012,NSE,EQ,,Non Banking Financial Company (NBFC),nifty500|midcap
HDFCAMC,HDFC Asset Management Company Limited,INE127D01025,NSE,EQ,,Asset Management Company,nifty100|nifty500|largecap
HDFCBANK,HDFC Bank Limited,INE040A01034,NSE,EQ,,Private Sector Bank,nifty50|nifty100|nifty500|largecap
HDFCLIFE,HDFC Life Insurance Company Limited,INE795G01014,NSE,EQ,,Life Insurance,nifty50|nifty100|nifty500|largecap
HEG,HEG Limited,INE545A01024,NSE,EQ,,Electrodes & Refractories,nifty500|midcap
HEROMOTOCO,Hero MotoCorp Limited,INE158A01026,NSE,EQ,,2/3 Wheelers,nifty500|midcap
HEXT,Hexaware Technologies Limited,INE093A01041,NSE,EQ,,Computers - Software & Consulting,nifty500|midcap
HFCL,HFCL Limited,INE548A01028,NSE,EQ,,Telecom - Infrastructure,nifty500|midcap
HINDALCO,Hindalco Industries Limited,INE038A01020,NSE,EQ,,Aluminium,nifty50|nifty100|nifty500|largecap
HINDCOPPER,Hindustan Copper Limited,INE531E01026,NSE,EQ,,Copper,nifty500|midcap
HINDPETRO,Hindustan Petroleum Corporation Limited,INE094A01015,NSE,EQ,,Refineries & Marketing,nifty500|midcap
HINDUNILVR,Hindustan Unilever Limited,INE030A01027,NSE,EQ,,Diversified FMCG,nifty50|nifty100|nifty500|largecap
HINDZINC,Hindustan Zinc Limited,INE267A01025,NSE,EQ,,Zinc,nifty100|nifty500|largecap
HOMEFIRST,Home First Finance Company India Limited,INE481N01025,NSE,EQ,,Housing Finance Company,nifty500|midcap
HONASA,Honasa Consumer Limited,INE0J5401028,NSE,EQ,,Personal Care,nifty500|midcap
HONAUT,Honeywell Automation India Limited,INE671A01010,NSE,EQ,,Industrial Products,nifty500|midcap
HSCL,Himadri Speciality Chemical Limited,INE019C01026,NSE,EQ,,Carbon Black,nifty500|midcap
HUDCO,Housing & Urban Development Corporation Limited,INE031A01017,NSE,EQ,,Financial Institution,nifty500|midcap
HYUNDAI,Hyundai Motor India Limited,INE0V6F01027,NSE,EQ,,Passenger Cars & Utility Vehicles,nifty100|nifty500|largecap
ICICIAMC,ICICI Prudential Asset Management Company Limited,INE346A01027,NSE,EQ,,Asset Management Company,nifty500|midcap
ICICIBANK,ICICI Bank Limited,INE090A01021,NSE,EQ,,Private Sector Bank,nifty50|nifty100|nifty500|largecap
ICICIGI,ICICI Lombard General Insurance Company Limited,INE765G01017,NSE,EQ,,General Insurance,nifty500|midcap
ICICIPRULI,ICICI Prudential Life Insurance Company Limited,INE726G01019,NSE,EQ,,Life Insurance,nifty500|midcap
IDBI,IDBI Bank Limited,INE008A01015,NSE,EQ,,Private Sector Bank,nifty500|midcap
IDEA,Vodafone Idea Limited,INE669E01016,NSE,EQ,,Telecom - Cellular & Fixed line services,nifty500|midcap
IDFCFIRSTB,IDFC First Bank Limited,INE092T01019,NSE,EQ,,Private Sector Bank,nifty500|midcap
IEX,Indian Energy Exchange Limited,INE022Q01020,NSE,EQ,,Exchange and Data Platform,nifty500|midcap
IFCI,IFCI Limited,INE039A01010,NSE,EQ,,Financial Institution,nifty500|midcap
IGIL,International Gemmological Institute (India) Limited,INE0Q9301021,NSE,EQ,,Diversified Commercial Services,nifty500|midcap
IGL,Indraprastha Gas Limited,INE203G01027,NSE,EQ,,LPG/CNG/PNG/LNG Supplier,nifty500|midcap
IIFL,IIFL Finance Limited,INE530B01024,NSE,EQ,,Non Banking Financial Company (NBFC),nifty500|midcap
IKS,Inventurus Knowledge Solutions Limited,INE115Q01022,NSE,EQ,,IT Enabled Services,nifty500|midcap
INDGN,Indegene Limited,INE065X01017,NSE,EQ,,Healthcare Research Analytics & Technology,nifty500|midcap
INDHOTEL,The Indian Hotels Company Limited,INE053A01029,NSE,EQ,,Hotels & Resorts,nifty100|nifty500|largecap
INDIACEM,The India Cements Limited,INE383A01012,NSE,EQ,,Cement & Cement Products,nifty500|midcap
INDIAMART,Indiamart Intermesh Limited,INE933S01016,NSE,EQ,,Internet & Catalogue Retail,nifty500|midcap
INDIANB,Indian Bank,INE562A01011,NSE,EQ,,Public Sector Bank,nifty500|midcap
INDIGO,InterGlobe Aviation Limited,INE646L01027,NSE,EQ,,Airline,nifty50|nifty100|nifty500|largecap
INDUSINDBK,IndusInd Bank Limited,INE095A01012,NSE,EQ,,Private Sector Bank,nifty500|midcap
INDUSTOWER,Indus Towers Limited,INE121J01017,NSE,EQ,,Telecom - Infrastructure,nifty500|midcap
INFY,Infosys Limited,INE009A01021,NSE,EQ,,Computers - Software & Consulting,nifty50|nifty100|nifty500|largecap
INOXWIND,Inox Wind Limited,INE066P01011,NSE,EQ,,Heavy Electrical Equipment,nifty500|midcap
INTELLECT,Intellect Design Arena Limited,INE306R01017,NSE,EQ,,Computers - Software & Consulting,nifty500|midcap
IOB,Indian Overseas Bank,INE565A01014,NSE,EQ,,Public Sector Bank,nifty500|midcap
IOC,Indian Oil Corporation Limited,INE242A01010,NSE,EQ,,Refineries & Marketing,nifty100|nifty500|largecap
IPCALAB,IPCA Laboratories Limited,INE571A01038,NSE,EQ,,Pharmaceuticals,nifty500|midcap
IRB,IRB Infrastructure Developers Limited,INE821I01022,NSE,EQ,,Civil Construction,nifty500|midcap
IRCON,Ircon International Limited,INE962Y01021,NSE,EQ,,Civil Construction,nifty500|midcap
IRCTC,Indian Railway Catering And Tourism Corporation Limited,INE335Y01020,NSE,EQ,,Tour Travel Related Services,nifty500|midcap
IREDA,Indian Renewable Energy Development Agency Limited,INE202E01016,NSE,EQ,,Financial Institution,nifty500|midcap
IRFC,Indian Railway Finance Corporation Limited,INE053F01010,NSE,EQ,,Financial Institution,nifty100|nifty500|largecap
ITC,ITC Limited,INE154A01025,NSE,EQ,,Diversified FMCG,nifty50|nifty100|nifty500|largecap
ITCHOTELS,ITC Hotels Limited,INE379A01028,NSE,EQ,,Hotels & Resorts,nifty500|midcap
ITI,ITI Limited,INE248A01017,NSE,EQ,,Telecom - Equipment & Accessories,nifty500|midcap
J&KBANK,The Jammu & Kashmir Bank Limited,INE168A01041,NSE,EQ,,Private Sector Bank,nifty500|midcap
JAINREC,Jain Resource Recycling Limited,INE0YD401026,NSE,EQ,,Diversified Metals,nifty500|midcap
JBCHEPHARM,JB Chemicals & Pharmaceuticals Limited,INE572A01036,NSE,EQ,,Pharmaceuticals,nifty500|midcap
JBMA,JBM Auto Limited,INE927D01051,NSE,EQ,,Auto Components & Equipments,nifty500|midcap
JINDALSAW,Jindal Saw Limited,INE324A01032,NSE,EQ,,Iron & Steel Products,nifty500|midcap
JINDALSTEL,JINDAL STEEL LIMITED,INE749A01030,NSE,EQ,,Iron & Steel,nifty100|nifty500|largecap
JIOFIN,Jio Financial Services Limited,INE758E01017,NSE,EQ,,Investment Company,nifty50|nifty100|nifty500|largecap
JKCEMENT,JK Cement Limited,INE823G01014,NSE,EQ,,Cement & Cement Products,nifty500|midcap
JKTYRE,JK Tyre & Industries Limited,INE573A01042,NSE,EQ,,Tyres & Rubber Products,nifty500|midcap
JMFINANCIL,JM Financial Limited,INE780C01023,NSE,EQ,,Holding Company,nifty500|midcap
JPPOWER,Jaiprakash Power Ventures Limited,INE351F01018,NSE,EQ,,Power Generation,nifty500|midcap
JSL,Jindal Stainless Limited,INE220G01021,NSE,EQ,,Iron & Steel,nifty500|midcap
JSWCEMENT,JSW Cement Limited,INE718I01012,NSE,EQ,,Cement & Cement Products,nifty500|midcap
JSWENERGY,JSW Energy Limited,INE121E01018,NSE,EQ,,Power Generation,nifty500|midcap
JSWINFRA,JSW Infrastructure Limited,INE880J01026,NSE,EQ,,Port & Port services,nifty500|midcap
JSWSTEEL,JSW Steel Limited,INE019A01038,NSE,EQ,,Iron & Steel,nifty50|nifty100|nifty500|largecap
JUBLFOOD,Jubilant Foodworks Limited,INE797F01020,NSE,EQ,,Restaurants,nifty500|midcap
JUBLINGREA,Jubilant Ingrevia Limited,INE0BY001018,NSE,EQ,,Specialty Chemicals,nifty500|midcap
JUBLPHARMA,Jubilant Pharmova Limited,INE700A01033,NSE,EQ,,Pharmaceuticals,nifty500|midcap
JWL,Jupiter Wagons Limited,INE209L01016,NSE,EQ,,Railway Wagons,nifty500|midcap
JYOTICNC,Jyoti CNC Automation Limited,INE980O01024,NSE,EQ,,Industrial Products,nifty500|midcap
KAJARIACER,Kajaria Ceramics Limited,INE217B01036,NSE,EQ,,Ceramics,nifty500|midcap
KALYANKJIL,Kalyan Jewellers India Limited,INE303R01014,NSE,EQ,,Gems Jewellery And Watches,nifty500|midcap
KARURVYSYA,Karur Vysya Bank Limited,INE036D01028,NSE,EQ,,Private Sector Bank,nifty500|midcap
KAYNES,Kaynes Technology India Limited,INE918Z01012,NSE,EQ,,Industrial Products,nifty500|midcap
KEC,KEC International Limited,INE389H01022,NSE,EQ,,Civil Construction,nifty500|midcap
KEI,KEI Industries Limited,INE878B01027,NSE,EQ,,Cables - Electricals,nifty500|midcap
KFINTECH,Kfin Technologies Limited,INE138Y01010,NSE,EQ,,Depositories Clearing Houses and Other Intermediaries,nifty500|midcap
KIMS,Krishna Institute of Medical Sciences Limited,INE967H01025,NSE,EQ,,Hospital,nifty500|midcap
KIRLOSENG,Kirloskar Oil Engines Limited,INE146L01010,NSE,EQ,,Compressors Pumps & Diesel Engines,nifty500|midcap
KOTAKBANK,Kotak Mahindra Bank Limited,INE237A01036,NSE,EQ,,Private Sector Bank,nifty50|nifty100|nifty500|largecap
KPIL,Kalpataru Projects International Limited,INE220B01022,NSE,EQ,,Civil Construction,nifty500|midcap
KPITTECH,KPIT Technologies Limited,INE04I401011,NSE,EQ,,Computers - Software & Consulting,nifty500|midcap
KPRMILL,K.P.R. Mill Limited,INE930H01031,NSE,EQ,,Other Textile Products,nifty500|midcap
LALPATHLAB,Dr. Lal Path Labs Ltd.,INE600L01024,NSE,EQ,,Healthcare Service Provider,nifty500|midcap
LATENTVIEW,Latent View Analytics Limited,INE0I7C01011,NSE,EQ,,Computers - Software & Consulting,nifty500|midcap
LAURUSLABS,Laurus Labs Limited,INE947Q01028,NSE,EQ,,Pharmaceuticals,nifty500|midcap
LEMONTREE,Lemon Tree Hotels Limited,INE970X01018,NSE,EQ,,Hotels & Resorts,nifty500|midcap
LENSKART,Lenskart Solutions Limited,INE956O01016,NSE,EQ,,Speciality Retail,nifty500|midcap
LGEINDIA,LG Electronics India Limited,INE324D01010,NSE,EQ,,Household Appliances,nifty500|midcap
LICHSGFIN,LIC Housing Finance Limited,INE115A01026,NSE,EQ,,Housing Finance Company,nifty500|midcap
